validTime,temperature,wind_speed,precipitation,air_pressure,city
05-02 00:00,5.8,6.8,3.4,1009.4,göteborg
05-02 01:00,5.4,9.2,4.1,1010.3,göteborg
05-02 02:00,4.3,11.8,3.5,1011.2,göteborg
05-02 03:00,3.1,9.0,2.6,1012.2,göteborg
05-02 04:00,2.4,7.4,2.0,1012.9,göteborg
05-02 05:00,3.4,9.2,2.2,1013.6,göteborg
05-02 06:00,0.0,0.0,-9.0,4.7,göteborg
05-02 07:00,0.0,0.0,-9.0,4.8,göteborg
05-02 08:00,0.0,0.0,-9.0,6.5,göteborg
05-02 09:00,0.0,0.0,-9.0,8.1,göteborg
05-02 10:00,0.0,0.0,-9.0,9.0,göteborg
05-02 11:00,0.0,0.0,-9.0,11.6,göteborg
05-02 12:00,0.0,0.0,-9.0,11.6,göteborg
05-02 13:00,0.0,0.0,-9.0,10.6,göteborg
05-02 14:00,0.0,0.0,-9.0,10.3,göteborg
05-02 15:00,0.0,0.0,-9.0,10.1,göteborg
05-02 16:00,0.0,0.0,-9.0,9.1,göteborg
05-02 17:00,0.0,0.0,-9.0,8.4,göteborg
05-02 18:00,0.0,0.0,-9.0,7.3,göteborg
05-02 19:00,0.0,0.0,-9.0,5.5,göteborg
05-02 20:00,0.0,0.0,-9.0,4.2,göteborg
05-02 21:00,0.0,0.0,-9.0,4.1,göteborg
05-02 22:00,0.0,0.0,-9.0,3.7,göteborg
05-02 23:00,0.0,0.0,-9.0,3.5,göteborg
05-03 00:00,0.0,0.0,-9.0,3.0,göteborg
05-03 01:00,0.0,0.0,-9.0,2.9,göteborg
05-03 02:00,0.0,0.0,-9.0,2.9,göteborg
05-03 03:00,0.0,0.0,-9.0,2.5,göteborg
05-03 04:00,0.0,0.0,-9.0,1.7,göteborg
05-03 05:00,0.0,0.0,-9.0,2.4,göteborg
05-03 06:00,0.0,0.0,-9.0,3.7,göteborg
05-03 07:00,0.0,0.0,-9.0,3.9,göteborg
05-03 08:00,0.0,0.0,-9.0,5.1,göteborg
05-03 09:00,0.0,0.0,-9.0,6.5,göteborg
05-03 10:00,0.0,0.0,-9.0,8.4,göteborg
05-03 11:00,0.0,0.0,-9.0,9.1,göteborg
05-03 12:00,0.0,0.0,-9.0,9.7,göteborg
05-03 13:00,0.0,0.0,-9.0,10.1,göteborg
05-03 14:00,0.0,0.0,-9.0,10.3,göteborg
05-03 15:00,0.0,0.0,-9.0,10.3,göteborg
05-03 16:00,0.0,0.0,-9.0,9.2,göteborg
05-03 17:00,0.0,0.0,-9.0,8.2,göteborg
05-03 18:00,0.0,0.0,-9.0,7.0,göteborg
05-03 19:00,0.0,0.0,-9.0,5.6,göteborg
05-03 20:00,0.0,0.0,-9.0,4.4,göteborg
05-03 21:00,0.0,0.0,-9.0,4.1,göteborg
05-03 22:00,0.0,0.0,-9.0,3.6,göteborg
05-03 23:00,1.0,0.0,-9.0,3.1,göteborg
05-04 00:00,3.0,0.0,-9.0,4.3,göteborg
05-04 01:00,6.0,0.0,-9.0,4.4,göteborg
05-04 02:00,5.0,0.0,-9.0,5.3,göteborg
05-04 03:00,3.0,0.0,-9.0,6.7,göteborg
05-04 04:00,1.0,0.0,-9.0,8.4,göteborg
05-04 05:00,0.0,0.0,-9.0,9.6,göteborg
05-04 06:00,0.0,0.0,-9.0,10.3,göteborg
05-04 07:00,0.0,0.0,-9.0,10.3,göteborg
05-04 08:00,0.0,0.0,-9.0,9.6,göteborg
05-04 09:00,0.0,0.0,-9.0,9.9,göteborg
05-04 10:00,0.0,0.0,-9.0,9.8,göteborg
05-04 11:00,0.0,0.0,-9.0,10.5,göteborg
05-04 12:00,0.0,0.0,-9.0,10.4,göteborg
05-04 18:00,0.0,0.0,-9.0,9.4,göteborg
05-05 00:00,1.0,0.0,-9.0,4.0,göteborg
05-05 06:00,7.0,0.0,-9.0,7.1,göteborg
05-05 12:00,8.0,0.0,-9.0,9.8,göteborg
05-05 18:00,8.0,0.0,-9.0,8.1,göteborg
05-06 00:00,8.0,0.0,-9.0,8.8,göteborg
05-06 06:00,8.0,0.0,-9.0,9.6,göteborg
05-06 12:00,5.0,0.0,-9.0,9.9,göteborg
05-06 18:00,0.0,0.0,-9.0,7.1,göteborg
05-07 00:00,5.0,0.0,-9.0,7.2,göteborg
05-07 06:00,0.0,0.0,-9.0,7.5,göteborg
05-07 12:00,0.0,0.0,-9.0,7.9,göteborg
05-07 18:00,0.0,0.0,-9.0,7.3,göteborg
05-08 00:00,0.0,0.0,-9.0,7.6,göteborg
05-08 12:00,0.0,0.0,-9.0,10.8,göteborg
05-09 00:00,3.0,0.0,0.0,6.9,göteborg
05-09 12:00,6.0,0.0,0.0,8.6,göteborg
05-10 00:00,8.0,0.0,0.0,6.7,göteborg
05-10 12:00,4.0,0.0,0.0,8.8,göteborg
05-11 00:00,5.0,0.0,0.0,6.8,göteborg
05-11 12:00,4.0,0.0,0.0,8.8,göteborg
05-02 00:00,-2.3,20.5,2.1,1006.6,luleå
05-02 01:00,-2.6,75.0,1.9,1006.9,luleå
05-02 02:00,-2.9,16.7,1.8,1007.2,luleå
05-02 03:00,-2.7,19.4,1.6,1007.4,luleå
05-02 04:00,-1.2,24.6,2.5,1007.8,luleå
05-02 05:00,0.4,30.3,3.0,1008.0,luleå
05-02 06:00,1.0,0.0,-9.0,5.4,luleå
05-02 07:00,0.0,0.0,-9.0,5.5,luleå
05-02 08:00,0.0,0.0,-9.0,6.1,luleå
05-02 09:00,0.0,0.0,-9.0,6.1,luleå
05-02 10:00,0.0,0.0,-9.0,6.1,luleå
05-02 11:00,0.0,0.0,-9.0,6.3,luleå
05-02 12:00,0.0,0.0,-9.0,6.2,luleå
05-02 13:00,0.0,0.0,-9.0,5.8,luleå
05-02 14:00,0.0,0.0,-9.0,6.3,luleå
05-02 15:00,0.0,0.0,-9.0,6.6,luleå
05-02 16:00,0.0,0.0,-9.0,6.7,luleå
05-02 17:00,1.0,0.0,-9.0,5.4,luleå
05-02 18:00,1.0,0.0,-9.0,4.6,luleå
05-02 19:00,0.0,0.0,-9.0,4.3,luleå
05-02 20:00,0.0,0.0,-9.0,4.7,luleå
05-02 21:00,0.0,0.0,-9.0,6.2,luleå
05-02 22:00,0.0,0.0,-9.0,6.8,luleå
05-02 23:00,0.0,0.0,98.0,7.9,luleå
05-03 00:00,0.0,0.0,98.0,9.7,luleå
05-03 01:00,0.0,0.0,100.0,9.4,luleå
05-03 02:00,0.0,0.0,100.0,9.4,luleå
05-03 03:00,0.0,0.0,-9.0,10.1,luleå
05-03 04:00,0.0,0.0,-9.0,10.1,luleå
05-03 05:00,0.0,0.0,-9.0,9.9,luleå
05-03 06:00,0.0,0.0,-9.0,9.9,luleå
05-03 07:00,0.0,0.0,-9.0,9.2,luleå
05-03 08:00,0.0,0.0,-9.0,9.1,luleå
05-03 09:00,0.0,0.0,-9.0,8.9,luleå
05-03 10:00,0.0,0.0,-9.0,9.0,luleå
05-03 11:00,0.0,0.0,-9.0,9.0,luleå
05-03 12:00,0.0,0.0,-9.0,9.2,luleå
05-03 13:00,0.0,0.0,-9.0,9.3,luleå
05-03 14:00,0.0,0.0,-9.0,9.3,luleå
05-03 15:00,0.0,0.0,-9.0,9.0,luleå
05-03 16:00,0.0,0.0,-9.0,9.0,luleå
05-03 17:00,0.0,0.0,-9.0,8.5,luleå
05-03 18:00,0.0,0.0,-9.0,8.3,luleå
05-03 19:00,1.0,0.0,-9.0,8.0,luleå
05-03 20:00,1.0,0.0,-9.0,7.6,luleå
05-03 21:00,1.0,0.0,-9.0,6.0,luleå
05-03 22:00,2.0,0.0,-9.0,5.9,luleå
05-03 23:00,3.0,0.0,-9.0,6.2,luleå
05-04 00:00,5.0,0.0,-9.0,6.6,luleå
05-04 01:00,7.0,0.0,-9.0,6.9,luleå
05-04 02:00,7.0,0.0,-9.0,7.2,luleå
05-04 03:00,6.0,0.0,-9.0,7.6,luleå
05-04 04:00,4.0,0.0,-9.0,8.2,luleå
05-04 05:00,2.0,0.0,-9.0,8.7,luleå
05-04 06:00,1.0,0.0,-9.0,8.7,luleå
05-04 07:00,0.0,0.0,-9.0,8.7,luleå
05-04 08:00,0.0,0.0,-9.0,8.7,luleå
05-04 09:00,1.0,0.0,-9.0,8.7,luleå
05-04 10:00,1.0,0.0,-9.0,8.5,luleå
05-04 11:00,1.0,0.0,-9.0,8.7,luleå
05-04 12:00,0.0,0.0,-9.0,9.0,luleå
05-04 18:00,0.0,0.0,-9.0,5.4,luleå
05-05 00:00,0.0,0.0,-9.0,5.3,luleå
05-05 06:00,1.0,0.0,-9.0,4.8,luleå
05-05 12:00,0.0,0.0,-9.0,6.6,luleå
05-05 18:00,0.0,0.0,-9.0,6.2,luleå
05-06 00:00,7.0,0.0,-9.0,5.2,luleå
05-06 06:00,0.0,0.0,-9.0,3.9,luleå
05-06 12:00,0.0,0.0,-9.0,8.0,luleå
05-06 18:00,8.0,0.0,-9.0,7.8,luleå
05-07 00:00,8.0,0.0,-9.0,6.3,luleå
05-07 06:00,8.0,0.0,-9.0,3.2,luleå
05-07 12:00,2.0,0.0,-9.0,6.1,luleå
05-07 18:00,0.0,0.0,-9.0,6.6,luleå
05-08 00:00,0.0,0.0,-9.0,6.8,luleå
05-08 12:00,0.0,0.0,-9.0,6.2,luleå
05-09 00:00,5.0,0.0,-9.0,5.8,luleå
05-09 12:00,1.0,0.0,0.0,6.4,luleå
05-10 00:00,3.0,0.0,0.0,5.9,luleå
05-10 12:00,2.0,0.0,0.0,7.1,luleå
05-11 00:00,6.0,0.0,0.0,5.6,luleå
05-11 12:00,2.0,0.0,0.0,6.7,luleå
05-02 00:00,6.0,21.6,3.7,1005.0,stockholm
05-02 01:00,4.7,7.2,3.7,1005.6,stockholm
05-02 02:00,4.1,7.1,3.7,1005.8,stockholm
05-02 03:00,3.2,8.2,4.2,1006.2,stockholm
05-02 04:00,2.9,7.9,4.4,1006.9,stockholm
05-02 05:00,2.9,9.7,4.9,1007.7,stockholm
05-02 06:00,0.0,0.0,-9.0,9.3,stockholm
05-02 07:00,0.0,0.0,-9.0,10.1,stockholm
05-02 08:00,0.0,0.0,-9.0,9.8,stockholm
05-02 09:00,0.0,0.0,-9.0,9.1,stockholm
05-02 10:00,0.0,0.0,-9.0,9.6,stockholm
05-02 11:00,0.0,0.0,-9.0,10.9,stockholm
05-02 12:00,0.0,0.0,-9.0,11.7,stockholm
05-02 13:00,0.0,0.0,-9.0,11.8,stockholm
05-02 14:00,0.0,0.0,-9.0,11.4,stockholm
05-02 15:00,0.0,0.0,-9.0,11.0,stockholm
05-02 16:00,0.0,0.0,-9.0,10.2,stockholm
05-02 17:00,0.0,0.0,-9.0,9.0,stockholm
05-02 18:00,3.0,0.0,-9.0,7.3,stockholm
05-02 19:00,6.0,0.0,-9.0,4.3,stockholm
05-02 20:00,8.0,0.0,-9.0,3.7,stockholm
05-02 21:00,7.0,0.0,-9.0,3.5,stockholm
05-02 22:00,7.0,0.0,-9.0,3.5,stockholm
05-02 23:00,6.0,0.0,-9.0,3.5,stockholm
05-03 00:00,6.0,0.0,-9.0,2.9,stockholm
05-03 01:00,7.0,0.0,-9.0,3.9,stockholm
05-03 02:00,6.0,0.0,-9.0,4.1,stockholm
05-03 03:00,5.0,0.0,-9.0,5.1,stockholm
05-03 04:00,3.0,0.0,-9.0,5.3,stockholm
05-03 05:00,1.0,0.0,-9.0,5.8,stockholm
05-03 06:00,0.0,0.0,-9.0,6.1,stockholm
05-03 07:00,0.0,0.0,-9.0,6.5,stockholm
05-03 08:00,0.0,0.0,-9.0,7.7,stockholm
05-03 09:00,0.0,0.0,-9.0,8.4,stockholm
05-03 10:00,0.0,0.0,-9.0,9.3,stockholm
05-03 11:00,0.0,0.0,-9.0,9.4,stockholm
05-03 12:00,0.0,0.0,-9.0,9.1,stockholm
05-03 13:00,0.0,0.0,-9.0,8.8,stockholm
05-03 14:00,0.0,0.0,-9.0,8.1,stockholm
05-03 15:00,0.0,0.0,-9.0,8.3,stockholm
05-03 16:00,0.0,0.0,-9.0,9.4,stockholm
05-03 17:00,0.0,0.0,-9.0,11.6,stockholm
05-03 18:00,0.0,0.0,-9.0,6.8,stockholm
05-03 19:00,0.0,0.0,-9.0,5.9,stockholm
05-03 20:00,0.0,0.0,-9.0,5.1,stockholm
05-03 21:00,0.0,0.0,-9.0,3.9,stockholm
05-03 22:00,0.0,0.0,-9.0,3.9,stockholm
05-03 23:00,0.0,0.0,-9.0,3.9,stockholm
05-04 00:00,0.0,0.0,-9.0,3.9,stockholm
05-04 01:00,0.0,0.0,-9.0,4.7,stockholm
05-04 02:00,0.0,0.0,-9.0,4.5,stockholm
05-04 03:00,0.0,0.0,-9.0,4.1,stockholm
05-04 04:00,0.0,0.0,-9.0,3.3,stockholm
05-04 05:00,0.0,0.0,-9.0,4.5,stockholm
05-04 06:00,0.0,0.0,-9.0,5.5,stockholm
05-04 07:00,0.0,0.0,-9.0,5.9,stockholm
05-04 08:00,0.0,0.0,-9.0,6.9,stockholm
05-04 09:00,0.0,0.0,-9.0,7.2,stockholm
05-04 10:00,0.0,0.0,-9.0,7.1,stockholm
05-04 11:00,0.0,0.0,-9.0,8.0,stockholm
05-04 12:00,0.0,0.0,-9.0,8.2,stockholm
05-04 18:00,0.0,0.0,19.0,6.1,stockholm
05-05 00:00,0.0,0.0,-9.0,2.1,stockholm
05-05 06:00,0.0,0.0,-9.0,4.7,stockholm
05-05 12:00,0.0,0.0,-9.0,6.5,stockholm
05-05 18:00,0.0,0.0,-9.0,8.5,stockholm
05-06 00:00,0.0,0.0,-9.0,2.4,stockholm
05-06 06:00,0.0,0.0,-9.0,3.9,stockholm
05-06 12:00,1.0,0.0,-9.0,8.8,stockholm
05-06 18:00,8.0,0.0,-9.0,8.8,stockholm
05-07 00:00,8.0,0.0,-9.0,4.6,stockholm
05-07 06:00,0.0,0.0,-9.0,5.0,stockholm
05-07 12:00,0.0,0.0,-9.0,9.9,stockholm
05-07 18:00,0.0,0.0,-9.0,10.0,stockholm
05-08 00:00,0.0,0.0,-9.0,5.3,stockholm
05-08 12:00,0.0,0.0,-9.0,10.3,stockholm
05-09 00:00,2.0,0.0,0.0,7.0,stockholm
05-09 12:00,6.0,0.0,0.0,9.2,stockholm
05-10 00:00,7.0,0.0,0.0,6.8,stockholm
05-10 12:00,7.0,0.0,0.0,9.3,stockholm
05-11 00:00,4.0,0.0,0.0,6.7,stockholm
05-11 12:00,1.0,0.0,0.0,8.9,stockholm
05-02 00:00,8.4,11.6,3.0,1011.5,trelleborg
05-02 01:00,8.1,9.3,3.3,1011.4,trelleborg
05-02 02:00,7.5,4.2,3.4,1011.4,trelleborg
